phi_deg;plano_z;Line_A_y;Line_B_z;Line_C;YB;ZB;KN;SZ;S;Volumen_Calculado;Volumen_Error_%;GZ_5.0;GZ_lin_5.0;Error_Lin_5.0_%;GZ_5.15;GZ_lin_5.15;Error_Lin_5.15_%;GZ_5.3;GZ_lin_5.3;Error_Lin_5.3_%
10,0;4,584028582770304;0,17364817766693033;0,984807753012208;-4,584028582770304;-0,8626814727612928;2,959926150004911;1,3635611847323568;0,3216721187307747;1085,1217607038288;2281,7439999997227;1,2157186960532957e-11;0,49532029639770503;0,5019459855957825;1,337657521055337;0,46927306974766547;0,47576604681586754;1,3836244793875403;0,44322584309762597;0,4495861080359527;1,4349941541937181
10,5;4,572239733554381;0,18223552549214747;0,9832549075639546;-4,572239733554381;-0,9049356687923666;2,9675669204510156;1,4305785545512686;0,3371654015983838;1084,5627562684192;2281,743999999707;1,2854730474661896e-11;0,5194009270905313;0,5270432848755717;1,471379311517546;0,4920655982667091;0,49955434915666097;1,5219009246594049;0,4647302694428871;0,4720654134377504;1,5783658774059566
11,0;4,5598924430807575;0,1908089953765448;0,981627183447664;-4,5598924430807575;-0,9470777129559101;2,9755678055360146;1,4974423315240823;0,3525883592648136;1084,0147335688252;2281,7439999996923;1,3492484544722642e-11;0,5433973546413584;0,5521405841553608;1,608993757390103;0,5147760053348767;0,5233426514974543;1,6641502466698654;0,48615465602839497;0,494544718839548;1,7258011842764227
11,5;4,546989337277053;0,1993679344171972;0,9799247046208296;-4,546989337277053;-0,9891103360723603;2,983928588239816;1,5641533329989126;0,36794572649572954;1083,5152679026403;2281,7439999996504;1,5326027496147285e-11;0,5673136609129268;0,5772378834351499;1,749336073848985;0,537408470750347;0,5471309538382477;1,8091421362089521;0,5075032805877676;0,5170240242413456;1,87599647485067
12,0;4,533530132246449;0,20791169081775934;0,9781476007338057;-4,533530132246449;-1,0310356390623507;2,9926490374184516;1,6307117580136947;0,3832416131071388;1083,0403149225863;2281,7439999996104;1,7079851188814333e-11;0,5911533039248982;0,6023351827149391;1,891536208255978;0,5599665503022342;0,5709192561790412;1,9559571676014211;0,5287797966795704;0,5395033296431433;2,0279770579190846
12,5;4,519512691396106;0,21643961393810288;0,9762960071199334;-4,519512691396106;-1,072841880453629;3,0017260275665225;1,6971036667123722;0,3984659830837549;1082,5639036008529;2281,74400000036;1,5764483419314046e-11;0,6149055970218578;0,6274324819947282;2,0372045779939745;0,5824396549311422;0,5947075585198345;2,106296074593784;0,549973712840427;0,561982635044941;2,183544762983671
13,0;4,50493692996561;0,224951054343865;0,9743700647852352;-4,50493692996561;-1,1145249030271243;3,011157902897253;1,7633228470198956;0,41361652095670554;1082,0986947729389;2281,7440000003085;1,351241435941204e-11;0,6385675753005705;0,6525297812745173;2,1864884021671283;0,6048249171489907;0,6184958608606279;2,260314237065333;0,571082258997411;0,5844619404467386;2,342864138839972
13,5;4,489805528565998;0,2334453638559054;0,9723699203976766;-4,489805528565998;-1,156088446633422;3,020944792949488;1,8293711872043101;0,42869900406887784;1081,6424896541585;2281,7440000002316;1,0144275676903729e-11;0,6621443679247833;0,6776270805543064;2,338268416908431;0,6271275633463973;0,6422841632014212;2,4168288464546572;0,5921107587680117;0,6069412458485361;2,504681237574852
14,0;4,474117839242921;0,24192189559966773;0,9702957262759965;-4,474117839242921;-1,1975284919978566;3,0310850750040865;1,8952426249481087;0,44371125135010225;1081,2095581487401;2281,744000000141;6,17824255371347e-12;0,68563314694977;0,7027243798340956;2,4927664247798975;0,6493448626098197;0,6660724655422147;2,5760738084789128;0,6130565782698697;0,6294205512503338;2,6692435185420393
14,5;4,457871218229448;0,25038000405444144;0,9681476403781077;-4,457871218229448;-1,2388363019164372;3,0415758907701655;1,9609262263780654;0,4586462020514168;1080,8011193396815;2281,7440000000383;1,6741044339094562e-12;0,7090262061058583;0,7278216791138848;2,650885516807026;0,671469205497692;0,689860767883008;2,739003104644871;0,6339122048895258;0,6518998566521315;2,8375619879002665
